Provider Org Name,rate_18_plus,rate_52_plus,rate_78_plus,Total
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,0.3635296509958798,0.041247422596207596,7.230056712406144e-05,569.6824817518249
"NUFFIELD HEALTH, DERBY HOSPITAL",0.40684410517205577,0.04048121521511406,0.0,162.83333333333334
BARTS HEALTH NHS TRUST,0.44865024247803426,0.04014871307896223,0.0013787838630323283,619.2963636363636
THE HAMPTONS HOSPITAL LTD,0.6442154584694845,0.03975006938514693,0.0006233308947296421,94.94871794871794
SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,0.4619466579994754,0.03972687324301499,0.0,635.2344827586207
ROYAL SURREY NHS FOUNDATION TRUST,0.38846647508863763,0.0395639290027994,0.00028135775041957016,360.38425925925924
QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0.49304222480410104,0.039129531755374376,0.0017817660826602636,353.38993710691824
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.4137130995881882,0.03832623745308279,0.0,436.5403422982885
SPENCER PRIVATE HOSPITALS LTD,0.5228827078465286,0.03817877647999569,0.0,515.7368421052631
RUNNYMEDE HOSPITAL,0.22414891937600556,0.03817581921276229,0.0,26.083333333333332
CORA HEALTH DIAGNOSTICS (FORMERLY HEALTHSHARE DIAGNOSTICS),0.6214411251554335,0.03805198360008937,0.004611128972108687,242.0
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,0.4482569249594038,0.03788023716011876,0.0002809226781042838,623.9180327868852
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,0.40279904297959906,0.037785841039085784,0.0,651.4836956521739
COMMUNITAS CLINICS,0.2530893140009162,0.037652264862209614,0.0008287292817679558,2907.0
WHITTINGTON HEALTH NHS TRUST,0.4297140321752522,0.037563249280824364,0.00013055126691490328,577.0
SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,0.38014889681161435,0.03724987074436654,0.0,525.6883116883117
LEEDS TEACHING HOSPITALS NHS TRUST,0.3790004148425326,0.03667621140581733,0.00242118917847575,472.9235294117647
SURREY AND SUSSEX HEALTHCARE NHS TRUST,0.3953644574729093,0.03585208353557315,5.272904344225501e-05,627.4924623115578
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.4274035434315298,0.03526925911324573,0.0,326.17588932806325
"NUFFIELD HEALTH, LEICESTER HOSPITAL",0.2976544651196335,0.03525198475444439,0.0032413150734609455,62.81818181818182
GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,0.33876950777784953,0.03522752501863681,0.002225655283827371,105.02643171806167
OAKS HOSPITAL,0.4837468319725743,0.03495548627761436,0.0,79.28125
THE WALTON CENTRE NHS FOUNDATION TRUST,0.41789122395439965,0.03484124449519526,0.0,453.3404255319149
STOCKPORT NHS FOUNDATION TRUST,0.405514735167338,0.03468503691440992,0.0,443.951690821256
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,0.3763790087320324,0.0346191760501807,0.0,637.380487804878
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0.33991269028537474,0.034569260748898656,0.0008317552008060094,1207.4605263157894
